Component,Department,Name,Title,Email,Street Address 1,Street Address 2,City,State,Zip code,Telephone,Fax
Corporation for National and Community Service,Corporation for National and Community Service (operating as AmeriCorps),Jana Maser,FOIA Appeals Officer,jmaser@cns.gov,"Stephanie A. Soper, Freedom of Information Act Officer, Office of the General Counsel, Room 2257","250 E Street, SW",Washington,DC,20525,202-956-9745,202-606-3467
Corporation for National and Community Service,Corporation for National and Community Service (operating as AmeriCorps),Kiara Rhodes,FOIA Public Liaison,krhodes@cns.gov,"Stephanie A. Soper, Freedom of Information Act Officer, Office of the General Counsel, Room 2257","250 E Street, SW",Washington,DC,20525,202-937-6965,202-606-3467
Corporation for National and Community Service,Corporation for National and Community Service (operating as AmeriCorps),Stephanie A. Soper,FOIA Officer,ssoper@cns.gov,"Stephanie A. Soper, Freedom of Information Act Officer, Office of the General Counsel, Room 2257","250 E Street, SW",Washington,DC,20525,202-606-6747,202-606-3467
Council of the Inspectors General on Integrity and Efficiency ,Council of the Inspectors General on Integrity and Efficiency,,,,"FOIA Contact, Suite 825","1717 H Street, NW",Washington,DC,20006,202-616-1210,202-254-0162
Council of the Inspectors General on Integrity and Efficiency ,Council of the Inspectors General on Integrity and Efficiency,Elizabeth Sweetland,FOIA Public Liaison,Elizabeth.Sweetland@cigie.gov,"FOIA Contact, Suite 825","1717 H Street, NW",Washington,DC,20006,202.924.3940,202-254-0162
Council on Environmental Quality,Council on Environmental Quality,,,,"Howard Sun, FOIA Public Liaison","730 Jackson Place, NW",Washington,DC,20503,202-456-3621,202-395-4205
Council on Environmental Quality,Council on Environmental Quality,Howard Sun,FOIA Public Liaison,efoia@ceq.eop.gov,"Howard Sun, FOIA Public Liaison","730 Jackson Place, NW",Washington,DC,20503,202-456-3621,202-395-4205
Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,,,,"Jeanean West, Government Information Specialist, Office of the General Counsel","800 North Capitol Street, N.W., Suite 702",Washington,DC,20002,202-220-5300,202-442-1963
Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,Jeanean West,"FOIA Officer, Government Information Specialist, Office of the General Counsel",jeanean.west@csosa.gov,"Jeanean West, Government Information Specialist, Office of the General Counsel","800 North Capitol Street, N.W., Suite 702",Washington,DC,20002,202-220-5748,202-442-1963
Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,Willis Stamps,"Supervisory Attorney Advisor, Office of the General Counsel",willis.stamps@csosa.gov,"Jeanean West, Government Information Specialist, Office of the General Counsel","800 North Capitol Street, N.W., Suite 702",Washington,DC,20002,202-220-5468,202-442-1963
Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Paul Wilson,FOIA Public Liason,FOIA@dnfsb.gov,FOIA Office,"625 Indiana Avenue, NW, Suite 700",Washington,DC,20004,"800-788-4016, 202-694-7000",
Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Toni Reddish,Chief FOIA Officer,,FOIA Office,"625 Indiana Avenue, NW, Suite 700",Washington,DC,20004,,
Denali Commission,Denali Commission,Anne Stanislowski,Administrative Specialist,astanislowski@denali.gov,"John Whittington, FOIA Officer",510 L Street Ste 410,Anchorage,AK,99501,907-271-3011,
Denali Commission,Denali Commission,John Whittington,,,"John Whittington, FOIA Officer",510 L Street Ste 410,Anchorage,AK,99501,907-271-1640,
Agricultural Marketing Service,Department of Agriculture,Mark R. Brook,FOIA Officer,ams.foia@usda.gov,"1400 Independence Avenue, SW","ATTN: AMS FOIA Office, Room 2055-S, Stop 0201",Washington,DC,20250-0201,(202) 302-0650,
Agricultural Marketing Service,Department of Agriculture,William D. Allen,,ams.foia@usda.gov,"1400 Independence Avenue, SW","ATTN: AMS FOIA Office, Room 2055-S, Stop 0201",Washington,DC,20250-0201,(202) 631-6412,
Animal and Plant Health Inspection Service,Department of Agriculture,Abbey Fretz,FOIA Public Liaison,abbey.l.fretz@usda.gov,4700 River Road,Unit 50,Riverdale,MD,20737,(301) 851-4100,
Animal and Plant Health Inspection Service,Department of Agriculture,Tonya Woods,,FOIA.Officer@aphis.usda.gov,4700 River Road,Unit 50,Riverdale,MD,20737,(301) 851-4076 ,
Departmental Administration,Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,1400 Independence Avenue SW,Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
Departmental Administration,Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,1400 Independence Avenue SW,Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
Farm Service Agency,Department of Agriculture,FPAC-BC FOIA Team,,SM.FP.FOIA@usda.gov,1400 Independence Avenue SW,"South Building, Room 3203",Washington,DC,20250-9410,,202-720-2979
Farm Service Agency,Department of Agriculture,Patrick McLoughlin,,Patrick.McLoughlin@usda.gov,1400 Independence Avenue SW,"South Building, Room 3203",Washington,DC,20250-9410,(202) 590-6168,202-720-2979
Food and Nutrition Service,Department of Agriculture,Evlyn Hearne,FOIA Public Liaison,,Food & Nutrition Service,1320 Braddock Place,Alexandria,VA,22314,(703) 305-2179,
Food and Nutrition Service,Department of Agriculture,Kevin Lynch,FOIA Officer,FOIA-FNS@usda.gov,Food & Nutrition Service,1320 Braddock Place,Alexandria,VA,22314,703-305-2155,
Food Safety and Inspection Service,Department of Agriculture,Dexter Johnson,FOIA Public Liaison,dexter.johnson@usda.gov,1400 Independence Avenue SW,"South Building, Room 1170",Washington,DC,20250,(202) 853-6166,
Food Safety and Inspection Service,Department of Agriculture,Okechi Chigewe,FOIA Officer,fsis.foia@usda.gov,1400 Independence Avenue SW,"South Building, Room 1170",Washington,DC,20250,,
Foreign Agricultural Service,Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,1400 Independence Avenue SW,Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
Foreign Agricultural Service,Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,1400 Independence Avenue SW,Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
Forest Service,Department of Agriculture,La Renda C. King,FOIA Public Liaison,larenda.king@usda.gov,USDA Forest Service,201 14th Street SW,Washington,DC,20250,202-205-6560,
Forest Service,Department of Agriculture,Margaret Scofield,FOIA Officer,SM.FS.WOFOIA@usda.gov,USDA Forest Service,201 14th Street SW,Washington,DC,20250,,
National Finance Center,Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
National Finance Center,Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
Natural Resources Conservation Service,Department of Agriculture,FPAC-BC FOIA Team,,SM.FP.FOIA@usda.gov,"1400 Independence Avenue, SW","South Building, Room 3203",Washington,DC,20250-9410,,
Natural Resources Conservation Service,Department of Agriculture,Patrick McLoughlin,,Patrick.McLoughlin@usda.gov,"1400 Independence Avenue, SW","South Building, Room 3203",Washington,DC,20250-9410,(202) 590-6168,
Office of Budget & Program Analysis,Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,1400 Independence Avenue SW,Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
Office of Budget & Program Analysis,Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,1400 Independence Avenue SW,Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
Office of Hearings and Appeals ,Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
Office of Hearings and Appeals ,Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
Office of the Assistant Secretary for Civil Rights,Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
Office of the Assistant Secretary for Civil Rights,Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
Office of the Chief Financial Officer,Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,1400 Independence Avenue SW,Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
Office of the Chief Financial Officer,Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,1400 Independence Avenue SW,Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
Office of the General Counsel,Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
Office of the General Counsel,Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
Office of the Inspector General,Department of Agriculture,Alison Decker,,FOIASTAFF@oig.usda.gov,"1400 Independence Avenue, SW","Whitten Building, Room 441-E",Washington,DC,20250,(202) 720-8112,
Office of the Inspector General,Department of Agriculture,Michael Schierloh,,michael.schierloh@oig.usda.gov,"1400 Independence Avenue, SW","Whitten Building, Room 441-E",Washington,DC,20250,(202) 205-9718,
Office of the Secretary ,Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
Office of the Secretary ,Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
"Research, Education, and Economics",Department of Agriculture,Alexis Graves,,usdafoia@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 690-3318,
"Research, Education, and Economics",Department of Agriculture,Melanie Enciso,Government Information Specialist,melanie.enciso@usda.gov,"1400 Independence Avenue, SW",Room 4039-A,Washington,DC,20250-0706,(202) 720-9462,
Risk Management Agency,Department of Agriculture,FPAC-BC FOIA Team,,SM.FP.FOIA@usda.gov,"1400 Independence Avenue, SW","South Building, Room 3203",Washington,DC,20250-9410,,
Risk Management Agency,Department of Agriculture,Patrick McLoughlin,,Patrick.McLoughlin@usda.gov,"1400 Independence Avenue, SW","South Building, Room 3203",Washington,DC,20250-9410,(202) 590-6168,
Rural Development,Department of Agriculture,Evangela Wimbush-Jeffrey,FOIA Public Liaison,RD.FOIA@usda.gov,"1400 Independence Avenue, SW","Room 6900-S, Stop 0706",Washington,DC,20250,(202) 720-2826,
Rural Development,Department of Agriculture,Lolita Barnes,FOIA Officer,lolita.barnes@usda.gov,"1400 Independence Avenue, SW","Room 6900-S, Stop 0706",Washington,DC,20250,(202) 720-2826,
Bureau of Economic Analysis,Department of Commerce,,,,"FOIA Officer, Communication Division Mail Stop BE-64; Room 8K120C",4600 Silver Hill Road,Washington,DC,20233,301-278-9798,
Bureau of Industry and Security,Department of Commerce,,,,"FOIA Officer, Room 6622",1401 Constitution Avenue NW,Washington,DC,20230,202-482-0953,202-482-0800
Census Bureau,Department of Commerce,,,,ATTN: FOIA/PA Office,4600 Silver Hill Road,Washington,DC,20233-3700,301-763-7127,301-763-6239
Department of Commerce (General),Department of Commerce,,,,Office of Privacy and Open Government,"1401 Constitution Avenue NW, Room 61013",Washington,DC,20230,(202) 482-3842,
Department of Commerce (General),Department of Commerce,Nicholas J. Cormier,Deputy Program Director for Departmental FOIA/PA and Open Government Operations,,Office of Privacy and Open Government,"1401 Constitution Avenue NW, Room 61013",Washington,DC,20230,,
Department of Commerce (General),Department of Commerce,Nicholas J. Cormier,Deputy Program Director for Departmental FOIA/PA and Open Government Operations,,Office of Privacy and Open Government,"1401 Constitution Avenue NW, Room 61013",Washington,DC,20230,,
Economic Development Administration,Department of Commerce,,,,"Jeffrey Roberson, Acting FOIA Officer, Room 72023","1401 Constitution Avenue, NW",Washington,DC,20230,202-482-3085,202-482-5671
Economic Development Administration,Department of Commerce,Jeffrey Roberson,,,"Jeffrey Roberson, Acting FOIA Officer, Room 72023","1401 Constitution Avenue, NW",Washington,DC,20230,202-482-1315,202-482-5671
Economic Development Administration,Department of Commerce,Jeffrey Roberson,,,"Jeffrey Roberson, Acting FOIA Officer, Room 72023","1401 Constitution Avenue, NW",Washington,DC,20230,,202-482-5671
Immediate Office of the Secretary,Department of Commerce,,,,"Bobbie Parsons, Immediate Office of the Secretary, Office of Privacy and Open Government, Room 61013","1401 Constitution Avenue NW, Room 61013",Washington,DC,20230,202-482-3257,
Immediate Office of the Secretary,Department of Commerce,Bobbie Parsons,"FOIA Officer, Immediate Office of the Secretary",BParsons@doc.gov,"Bobbie Parsons, Immediate Office of the Secretary, Office of Privacy and Open Government, Room 61013","1401 Constitution Avenue NW, Room 61013",Washington,DC,20230,202-482-3257,
Immediate Office of the Secretary,Department of Commerce,Bobbie Parsons,IOS FOIA Officer,,"Bobbie Parsons, Immediate Office of the Secretary, Office of Privacy and Open Government, Room 61013","1401 Constitution Avenue NW, Room 61013",Washington,DC,20230,,
International Trade Administration,Department of Commerce,,,,"Bianca Kegler, ITA FOIA Officer, Room 40003","1401 Constitution Avenue, NW",Washington,DC,20230,202-482-7937,202-482-1584
International Trade Administration,Department of Commerce,Bianca Kegler,FOIA Officer,,"Bianca Kegler, ITA FOIA Officer, Room 40003","1401 Constitution Avenue, NW",Washington,DC,20230,,202-482-1584
International Trade Administration,Department of Commerce,Mayank Bishnoi,,,"Bianca Kegler, ITA FOIA Officer, Room 40003","1401 Constitution Avenue, NW",Washington,DC,20230,,202-482-1584
Minority Business Development Agency,Department of Commerce,,,,"FOIA Officer, Room 5093","1401 Constitution Avenue, NW",Washington,DC,20230,202-482-2332,202-482-2419
Minority Business Development Agency,Department of Commerce,Wanda Blackwell,"Director, Information Management Division",,"FOIA Officer, Room 5093","1401 Constitution Avenue, NW",Washington,DC,20230,,202-482-2419
Minority Business Development Agency,Department of Commerce,Wanda Blackwell,FOIA Public Liaison,,"FOIA Officer, Room 5093","1401 Constitution Avenue, NW",Washington,DC,20230,,202-482-2419
National Institute of Standards and Technology,Department of Commerce,,,,"Catherine S. Fletcher, FOIA Officer, Mail Stop 1710",100 Bureau Drive,Gaithersburg,MD,20899-1710,301-975-4074,301-975-5301
National Institute of Standards and Technology,Department of Commerce,Catherine S. Fletcher,,,"Catherine S. Fletcher, FOIA Officer, Mail Stop 1710",100 Bureau Drive,Gaithersburg,MD,20899-1710,301-975-4074,301-975-5301
National Oceanic and Atmospheric Administration,Department of Commerce,,,,"Mark Graff, FOIA Officer, Room 9719 - NOAA FOIA Office (SOU 10000)",1315 East-West Highway,Silver Spring,MD,20910,301-628-5658,301-713-1169
National Oceanic and Atmospheric Administration,Department of Commerce,Mark Graff,,,"Mark Graff, FOIA Officer, Room 9719 - NOAA FOIA Office (SOU 10000)",1315 East-West Highway,Silver Spring,MD,20910,301-628-5658,301-713-1169
National Oceanic and Atmospheric Administration,Department of Commerce,Mark Graff,,,"Mark Graff, FOIA Officer, Room 9719 - NOAA FOIA Office (SOU 10000)",1315 East-West Highway,Silver Spring,MD,20910,301-628-5658,301-713-1169
National Oceanic and Atmospheric Administration,Department of Commerce,Robin Burress,,,"Mark Graff, FOIA Officer, Room 9719 - NOAA FOIA Office (SOU 10000)",1315 East-West Highway,Silver Spring,MD,20910,828-271-4695,301-713-1169
National Technical Information Service,Department of Commerce,,,,"FOIA Officer, Office of Administrative Management",5301 Shawnee Road,Alexandria,VA,22312,703-605-6543,703-605-6764
National Technical Information Service,Department of Commerce,Daniel Ramsey,FOIA Officer,,"FOIA Officer, Office of Administrative Management",5301 Shawnee Road,Alexandria,VA,22312,,703-605-6764
National Technical Information Service,Department of Commerce,Daniel Ramsey,FOIA Public Liaison,,"FOIA Officer, Office of Administrative Management",5301 Shawnee Road,Alexandria,VA,22312,,703-605-6764
National Telecommunications and Information Administration,Department of Commerce,,,,"Stacy Cheney, FOIA Contact, Office of the Chief Counsel, Room 4713","14th Street and Constitution Avenue, NW",Washington,DC,20230,202-482-1816,202-501-8013
National Telecommunications and Information Administration,Department of Commerce,Stacy Cheney,,,"Stacy Cheney, FOIA Contact, Office of the Chief Counsel, Room 4713","14th Street and Constitution Avenue, NW",Washington,DC,20230,,202-501-8013
National Telecommunications and Information Administration,Department of Commerce,Stephanie Weiner,,,"Stacy Cheney, FOIA Contact, Office of the Chief Counsel, Room 4713","14th Street and Constitution Avenue, NW",Washington,DC,20230,202-482-1853,202-501-8013
Office of Inspector General,Department of Commerce,,,,"Jennifer Piel, FOIA Officer, Room 7896","1401 Constitution Avenue, NW",Washington,DC,20230,202-482-5992,202-501-7335
Office of Inspector General,Department of Commerce,,,,"Jennifer Piel, FOIA Officer, Room 7896","1401 Constitution Avenue, NW",Washington,DC,20230,,202-501-7335
Office of Inspector General,Department of Commerce,Jennifer Piel,,,"Jennifer Piel, FOIA Officer, Room 7896","1401 Constitution Avenue, NW",Washington,DC,20230,,202-501-7335
Office of Inspector General,Department of Commerce,Jennifer Piel,,,"Jennifer Piel, FOIA Officer, Room 7896","1401 Constitution Avenue, NW",Washington,DC,20230,,202-501-7335
Office of the Under Secretary for Economic Affairs,Department of Commerce,,,," FOIA Officer, Office of the Under Secretary for Economic Affairs","1401 Constitution Ave, N.W., Mail Stop H4843",Washington,DC,20230,202-482-5997,
U.S. Patent and Trademark Office,Department of Commerce,,,,"Louis Boston Jr., FOIA Contact",P.O. Box 1450,Alexandria,VA,22313-1450,571-272-3000,571-501-7335
U.S. Patent and Trademark Office,Department of Commerce,Louis Boston Jr.,,,"Louis Boston Jr., FOIA Contact",P.O. Box 1450,Alexandria,VA,22313-1450,,571-501-7335
U.S. Patent and Trademark Office,Department of Commerce,Louis Boston Jr.,,,"Louis Boston Jr., FOIA Contact",P.O. Box 1450,Alexandria,VA,22313-1450,,571-501-7335
Armed Services Board of Contract Appeals,Department of Defense,,,,"Skyline 6, Room 703",5109 Leesburg Pike,Falls Church,VA,22041-3208,703-681-8501,703-681-8535
Armed Services Board of Contract Appeals,Department of Defense,Jeffrey Gardin,Initial Denial Authority,,"Skyline 6, Room 703",5109 Leesburg Pike,Falls Church,VA,22041-3208,,703-681-8535
Armed Services Board of Contract Appeals,Department of Defense,Tonya Fuentes,FOIA Public Liaison,osd.mc-alex.oatsd-pclt.mbx.foia-liaison@mail.mil,"Skyline 6, Room 703",5109 Leesburg Pike,Falls Church,VA,22041-3208,571-372-0462,703-681-8535
Defense Commissary Agency,Department of Defense,Freedom of Information Office,Defense Commissary Agency,deca.gregg-adams.hq.mbx.foia@mail.mil,Freedom of Information Officer,1300 E Avenue,Fort Gregg-Adams,VA,23801-1800,804-734-8000 ext. 48982,804-734-8116
Defense Commissary Agency,Department of Defense,Kirk Schmidt,FOIA Public Liaison,Kirk.Schmidt@deca.mil,Freedom of Information Officer,1300 E Avenue,Fort Gregg-Adams,VA,23801-1800,804-734-8000 ext. 48982,804-734-8116
Defense Contract Audit Agency,Department of Defense,,,,"FOIA Service Center, Suite 2135",8725 John J. Kingman Road,Fort Belvoir,VA,22060-6219,571-448-3153,(703) 767-3266
Defense Contract Audit Agency,Department of Defense,Keith Mastromichalis,FOIA Officer,dcaa.belvoir.hq.mbx.hq-foia@mail.mil,"FOIA Service Center, Suite 2135",8725 John J. Kingman Road,Fort Belvoir,VA,22060-6219,571-448-3153,(703) 767-3266
Defense Contract Audit Agency,Department of Defense,Ms. Temple Wilson,FOIA Public Liaison,dcaa.belvoir.hq.mbx.hq-foia@mail.mil,"FOIA Service Center, Suite 2135",8725 John J. Kingman Road,Fort Belvoir,VA,22060-6219,571-448-3153,(703) 767-3266
Defense Contract Management Agency,Department of Defense,,,dcma.gregg-adams.hq.mbx.dcma-foia@mail.mil,"DCMA-DCC, Attn:  FOIA Officer",3901 A Avenue,Fort Gregg-Adams,VA,23801,804-609-4533,
Defense Contract Management Agency,Department of Defense,Dave Wray ,,dcma.gregg-adams.hq.mbx.dcma-foia@mail.mil,"DCMA-DCC, Attn:  FOIA Officer",3901 A Avenue,Fort Gregg-Adams,VA,23801,804-609-4535,
Defense Contract Management Agency,Department of Defense,Kim Turner,FOIA/PA/CL Officer,dcma.gregg-adams.hq.mbx.dcma-foia@mail.mil,"DCMA-DCC, Attn:  FOIA Officer",3901 A Avenue,Fort Gregg-Adams,VA,23801,804-609-4533,
Defense Counterintelligence and Security Agency ,Department of Defense,Charles Watters,FOIA Officer,dcsa.quantico.dcsa-hq.mbx.foia@mail.mil,Office of FOIA and Privacy,27130 Telegraph Road,Quantico,VA,22314,(878) 274-1185,571-305-6931
Defense Counterintelligence and Security Agency ,Department of Defense,Christina Bianco,FOIA Public Liaison,dcsa.quantico.dcsa-hq.mbx.foia@mail.mil,Office of FOIA and Privacy,27130 Telegraph Road,Quantico,VA,22314,,571-305-6931
Defense Finance and Accounting Service,Department of Defense,,,,Indianapolis FOIA/PA Program Manager,8899 East 56th Street,Indianapolis,IN,46249-0150,317-212-4591,317-212-8802
Defense Finance and Accounting Service,Department of Defense,Gregory Outlaw,,dfas.foia@mail.mil,Indianapolis FOIA/PA Program Manager,8899 East 56th Street,Indianapolis,IN,46249-0150,317-212-4591,317-212-8802
Defense Finance and Accounting Service,Department of Defense,Gregory Outlaw,,,Indianapolis FOIA/PA Program Manager,8899 East 56th Street,Indianapolis,IN,46249-0150,317-212-4591,317-212-8802
Defense Health Agency,Department of Defense,,,,DHA FOIA Requester Service Center,"7700 Arlington Blvd, Suite 5101",Falls Church,VA,22042-5101,703-275-6017,703-681-5138
Defense Health Agency,Department of Defense,,,,DHA FOIA Requester Service Center,"7700 Arlington Blvd, Suite 5101",Falls Church,VA,22042-5101,,703-681-5138
